Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Quantity,Discount
ORD-001,2022-07-30,2022-08-04,Third Class,CUST-756,PROD-014,10,0.2
ORD-002,2022-03-18,2022-03-25,First Class,CUST-643,PROD-066,10,0
ORD-003,2022-04-10,2022-04-17,Second Class,CUST-451,PROD-020,6,0.2
ORD-004,2022-06-12,2022-06-14,Third Class,CUST-338,PROD-010,8,0.1
ORD-005,2022-04-18,2022-04-25,Second Class,CUST-672,PROD-039,4,0
ORD-006,2022-05-30,2022-05-31,Same Day,CUST-261,PROD-079,4,0
ORD-007,2022-03-20,2022-03-23,Second Class,CUST-362,PROD-023,6,0.1
ORD-008,2022-10-08,2022-10-15,First Class,CUST-110,PROD-055,5,0.1
ORD-009,2022-11-30,2022-12-06,Third Class,CUST-890,PROD-016,9,0
ORD-010,2022-01-31,2022-02-03,First Class,CUST-615,PROD-016,6,0.2
ORD-011,2022-05-09,2022-05-14,Same Day,CUST-484,PROD-008,3,0
ORD-012,2022-03-03,2022-03-07,Second Class,CUST-057,PROD-044,7,0.2
ORD-013,2022-12-30,2022-12-31,Third Class,CUST-125,PROD-034,1,0.1
ORD-014,2022-08-06,2022-08-13,Same Day,CUST-627,PROD-036,1,0.2
ORD-015,2022-08-18,2022-08-23,First Class,CUST-425,PROD-024,10,0.2
ORD-016,2022-05-04,2022-05-10,Same Day,CUST-474,PROD-007,1,0.2
ORD-017,2022-12-28,2022-12-29,Second Class,CUST-296,PROD-057,10,0
ORD-018,2022-03-24,2022-03-27,Same Day,CUST-266,PROD-045,6,0.1
ORD-019,2022-05-24,2022-05-30,First Class,CUST-185,PROD-079,8,0.1
ORD-020,2022-04-09,2022-04-10,Third Class,CUST-482,PROD-064,8,0
ORD-021,2022-09-06,2022-09-12,Second Class,CUST-129,PROD-093,7,0.2
ORD-022,2022-02-04,2022-02-09,Same Day,CUST-304,PROD-028,6,0.1
ORD-023,2022-07-13,2022-07-17,Same Day,CUST-360,PROD-091,3,0
ORD-024,2022-02-24,2022-03-01,Same Day,CUST-745,PROD-058,9,0
ORD-025,2022-07-29,2022-07-30,Same Day,CUST-853,PROD-062,5,0.1
